SearchType, Name, Querycount, Querylength, Accuracy, Time taken
MSM, test, 1, -117461757, 1.000000, 0.000000 secs
PMSM, test, 1, 6, 1.000000, 0.067000 secs
PMSM, test, 1, 6, 1.000000, 0.000000 secs
PMSM, test, 1, 6, 1.000000, 0.000000 secs
PMSM, test, 1, 6, 1.000000, 0.000000 secs
PMSM, test, 1, 6, 1.000000, 0.033000 secs
PMSM, test, 1, 6, 1.000000, 0.047000 secs
PMSM, test, 1, 6, 1.000000, 0.062000 secs
PMSM, test, 1, 6, 1.000000, 0.046000 secs
PMSM, test, 1, 6, 1.000000, 0.000000 secs
PMSM, test, 1, 6, 1.000000, 0.000000 secs
PMSM, test, 1, 6, 1.000000, 0.000000 secs
PMSM, test, 1, 6, 1.000000, 0.000000 secs
PMSM, test, 1, 6, 1.000000, 0.000000 secs
PMSM, test, 1, 6, 1.000000, 0.000000 secs
PMSM, test, 1, 5, 1.000000, 0.000000 secs
PMSM, test, 1, 5, 0.000000, 0.000000 secs
PMSM, test, 1, 5, 0.000000, 0.000000 secs
PMSM, test, 1, 5, 0.000000, 0.000000 secs
PMSM, test, 1, 5, 0.000000, 0.000000 secs
PMSM, test, 1, 5, 0.000000, 64340.060000 secs
PMSM, test, 1, 5, 0.000000, 0.001000 secs
PMSM, test, 1, 5, 0.000000, 31.801000 secs
PMSM, test, 1, 5, 0.000000, 31.777000 secs
PMSM, test, 1, 5, 0.000000, 47.644000 secs
PMSM, test, 1, 5, 0.000000, 0.001000 secs
PMSM, test, 1, 5, 0.000000, 0.006000 secs
PMSM, test, 3, 5, 0.666667, 0.029000 secs
PMSM, test, 3, 5, 0.666667, 0.107000 secs
PMSM, test, 1, 5, 0.000000, 0.033000 secs
PMSM, test, 1, 5, 0.000000, 0.034000 secs
PMSM, test, 1, 5, nan, 0.000000 secs
PMSM, test, 1, 5, inf, 0.000000 secs
PMSM, test, 1, 5, 1.000000, 0.000000 secs
PMSM, test, 1, 5, 1.000000, 0.001000 secs
PMSM, test, 1, 6, 1.000000, 0.001000 secs
PMSM, test, 1, 6, 1.000000, 0.041000 secs
PMSM, test, 1, 5, 0.000000, 0.000000 secs
PMSM, test, 1, 6, 1.000000, 0.001000 secs
PMSM, test, 1, 5, 0.000000, 0.000000 secs
PMSM, test, 1, 5, 0.000000, 0.000000 secs
PMSM, test, 1, 6, 0.000000, 0.000000 secs
PMSM, test, 1, 5, 0.000000, 39.640000 secs
PMSM, test, 1, 5, 0.000000, 0.001000 secs
PMSM, test, 1, 5, 1.000000, 0.001000 secs
ED, Adiac, 391, 176, 0.598466, 0.163000 secs
PMSM, Adiac, 391, 176, 0.000000, 0.000000 secs
PrunedMSM,Adiac,391,176,0.000000,0.000000
PrunedMSM_DA,Beef,30,1507465840,0.000000,0.000000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.477000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.508000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.487000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.453000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.731000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.424000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.488000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.371000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.382000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.384000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.356000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.387000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.267000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.189000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.187000
PrunedMSM_DA,Beef,30,470,30,470,0.000000,2.193000
PrunedMSM_DA,Beef,30,470,30,470,0.800000,2.192000
PrunedMSM_DA,Beef,30,470,30,470,0.800000,2.180000
PrunedMSM_DA,Beef,30,470,30,470,0.733333,2.181000
PrunedMSM_DA,Beef,30,470,30,470,0.733333,-2.573000
PrunedMSM_DA,Beef,30,470,30,470,0.733333,2.333000
PrunedMSM_DA,Beef,30,470,30,470,0.766667,2.200000
PrunedMSM_DA,Beef,30,470,30,470,0.800000,2.208000
PrunedMSM_DA,Beef,30,470,30,470,0.766667,2.201000
PrunedMSM_DA,Beef,30,470,30,470,0.766667,2.198000
PrunedMSM,Beef,30,470,0.000000,0.000000
PrunedMSM_DA,Beef,30,470,30,470,0.800000,2.284000
PrunedMSM_DA,Beef,30,470,30,470,0.733333,2.202000
PrunedMSM_DA,Beef,30,470,30,470,0.733333,2.196000
PrunedMSM_DA,Beef,30,470,30,470,0.800000,2.193000
PrunedMSM_DA,Beef,30,470,30,470,0.800000,2.198000
PrunedMSM_DA,Beef,30,470,30,470,0.800000,2.201000
PrunedMSM_DA,Beef,30,470,30,470,0.733333,2.200000
PrunedMSM_DA,Beef,30,470,30,470,0.733333,2.265000
PrunedMSM,Beef,30,470,0.000000,0.000000
PMSMSearch_DA,Beef,30,470,0.000000,0.000000
PrunedMSM,Beef,30,470,0.000000,0.000000
PMSMSearch_DA,Beef,30,470,0.000000,0.000000
PrunedMSM,Beef,30,470,0.000000,0.000000
PMSMSearch_DA,Beef,30,470,0.000000,0.000000
PrunedMSM,Beef,30,470,0.000000,0.000000
PMSMSearch_DA,Beef,30,470,0.000000,0.000000
PrunedMSM_DA,Beef,30,470,30,470,0.766667,2.267000
PrunedMSM_DA,Beef,30,470,30,470,0.766667,2.306000
PrunedMSM_DA,Beef,30,470,30,470,0.800000,2.204000
PrunedMSM,Beef,30,470,0.000000,0.000000
PMSMSearch_DA,Beef,30,470,0.000000,0.000000
PrunedMSM,Beef,30,470,0.000000,0.000000
PrunedMSM,Beef,30,470,30,470,0.600000,2.427000
PrunedMSM_DA,Beef,30,470,30,470,1.000000,2.253000
PrunedMSM_DA,Beef,30,470,30,470,1.000000,1.908000
PrunedMSM_DA,Beef,30,470,30,470,1.000000,1.824000
PrunedMSM_DA,Beef,30,470,30,470,1.000000,1.888000
PrunedMSM_DA,Beef,30,470,30,470,1.000000,1.819000
PrunedMSM_DA,Beef,30,470,30,470,0.600000,1.922000
PrunedMSM_Sakoe_DA10,Beef,0.600000,-0.037000
PrunedMSM_Sakoe_DA100,Beef,0.600000,1.288000
PrunedMSM_Sakoe_DA0,Beef,0.066667,0.027000
PrunedMSM_Sakoe_DA1,Beef,0.633333,0.047000
PrunedMSM_Sakoe_DA0.00001,Beef,0.066667,0.028000
PrunedMSM_Sakoe_DA0.1,Beef,0.066667,0.027000
PrunedMSM_Sakoe_DA5,Beef,0.600000,0.149000
PrunedMSM_Sakoe_DA2,Beef,0.633333,0.077000
PrunedMSM_Sakoe_DA0,Beef,0.066667,0.028000
PrunedMSM_Sakoe_DA10,Beef,0.600000,0.804000
PrunedMSM_Sakoe_DA1,Beef,0.633333,0.126000
PrunedMSM_Sakoe_DA1,Beef,0.066667,0.028000
PrunedMSM_Sakoe_DA1,Beef,0.066667,0.032000
PrunedMSM_Sakoe_DA1,Beef,0.066667,0.027000
PrunedMSM_Sakoe_DA1,Beef,0.633333,0.048000
PrunedMSM_Sakoe_DA1,Beef,0.633333,0.128000
PrunedMSM_Sakoe_DA10,Beef,0.600000,0.797000
PrunedMSM_Itakura_DA_1.0,Beef,0.000000,0.023000
PrunedMSM_Itakura_DA_0.5,Beef,0.000000,1.236000
PrunedMSM_Itakura_DA_0.5,Beef,0.000000,1.351000
PrunedMSM_Itakura_DA_0.5,Beef,0.000000,1.242000
PrunedMSM_Itakura_DA_0.5,Beef,0.000000,1.234000
PrunedMSM_Itakura_DA_0.5,Beef,0.200000,1.251000
PrunedMSM_Itakura_DA_0.5,Beef,0.200000,1.213000
PrunedMSM_Itakura_DA_0.5,Beef,0.000000,1.236000
PrunedMSM_Itakura_DA_0.5,Beef,0.000000,1.247000
PrunedMSM_Itakura_DA_0.5,Beef,0.200000,1.245000
PrunedMSM_Itakura_DA_0.5,Beef,0.200000,1.263000
PrunedMSM_Itakura_DA_0.5,Beef,0.200000,1.256000
PrunedMSM_Itakura_DA_0.5,Beef,0.000000,1.503000
PrunedMSM_Itakura_DA_0.5,Beef,0.600000,1.926000
PrunedMSM_Itakura_DA_1,Beef,0.000000,0.022000
PrunedMSM_Itakura_DA_1,Beef,0.000000,0.022000
PrunedMSM_Itakura_DA_0.1,Beef,0.000000,1.933000
PrunedMSM_Itakura_DA_0.1,Beef,0.000000,2.960000
PrunedMSM_Itakura_DA_0.1,Beef,0.000000,3.024000
PrunedMSM_Itakura_DA_0.1,Beef,0.200000,2.987000
PrunedMSM_Sakoe_DA_10,Beef,0.600000,0.837000
PrunedMSM_Sakoe_DA_100,Beef,0.600000,1.821000
PrunedMSM_Sakoe_DA_0,Beef,0.633333,0.034000
PrunedMSM_Itakura_DA_1,Beef,0.066667,0.030000
PrunedMSM_Itakura_DA_1,Beef,0.000000,0.252000
PrunedMSM_Itakura_DA_0.1,Beef,0.000000,3.336000
PMSMSearch_DA,Beef,0.600000,1.215000
PMSMSearch_Itakura_DA_1.0,Beef,0.000000,0.020000
PMSMSearch_Sakoe_DA_10,Beef,0.600000,0.462000
PMSMSearch_Sakoe_DA_0,Beef,0.633333,0.024000
